,Title,Location,Date,Link,Kitty Description
1,Fancy Dog/cat bed!, (Port coquitlam),Mar  2,https://vancouver.craigslist.org/pml/pet/d/port-coquitlam-fancy-dog-cat-bed/6832256356.html,"

QR Code Link to This Post


Dog/ Cat bed Basically brand new bed from winners used for a month but I find my dog is too big for it No Rips Tears or any damage very clean well tooken care of. 70$ obo reasonable offers please.    "
2,LOST TABBY CAT, (Surrey),Mar  2,https://vancouver.craigslist.org/rds/pet/d/surrey-lost-tabby-cat/6831927130.html,"

QR Code Link to This Post


Hi! I have a female tabby cat that is missing!!! About three days ago! We let her go outside every morning and comes back to sleep at night! And she went missing we’ve had her ever since she was 8 weeks and now she’s 3 years old! She’s also pregnant!!! Please if you have her return her back or if you see her! Contact me at my email or number please!!! I don’t think that she would get lost because she knows our area and always goes and comes back to us!!! Please help me find her she’s pregnant and probably gave birth since she was sppoused to give birth this week! She’s a tabby long hair and furry and has a Long black stripe through her whole back to tail! We live in Surrey on 95A ave please contact us if you saw her or have her!    "
3,Missing Cream Tabby Cat," (102 ave. and 141 st., Surrey)",Mar  2,https://vancouver.craigslist.org/rds/pet/d/surrey-missing-cream-tabby-cat/6831563045.html,"

QR Code Link to This Post


Missing since today.  Male cream tabby cat.  Has red light reflective collar on but might not as he loses his collars a lot.  If found please email me.    "
4,White female cat wanted, (Walnut Grove),Mar  1,https://vancouver.craigslist.org/rds/pet/d/langley-white-female-cat-wanted/6831544087.html,"

QR Code Link to This Post


My Nonna (grandmother) has decided she would like to adopt a cat. Her dog passed away two years ago and she finally feels ready for another animal. (She even has a name picked out already lol).
She owns a large town home in Walnut Grove, 15 minutes away from a veterinary clinic and pet supply store. 

She is looking specifically for a white female cat. She said white with black or other colours is fine as long as she is predominantly white. Short or long hair is fine as she will be taken to the groomers. 

Please email me if you have a kitten OR adult cat that matches her preference. 

Thank you in advance.
"
5,Omega Paw Cat Litter Box $30,N/A,Mar  1,https://vancouver.craigslist.org/van/pet/d/vancouver-omega-paw-cat-litter-box-30/6811595537.html,"

QR Code Link to This Post


Selling one Omega Paw cat litter box used only a few days before we give our cat away. It is great with clamping litters as it has a collecting tray to collect all the bigger pieces.

Price $30    "
6,BRAND NEW DOG AND CAT PET CARRIER BAG   $25, (SURREY),Mar  1,https://vancouver.craigslist.org/rds/pet/d/brand-new-dog-and-cat-pet-carrier-bag-25/6814314222.html,"

QR Code Link to This Post


I have a variety of brand new dog and cat pet carrier bags for sale. It comes in a few different colours of choice mostly for small to medium pets. Great for last minutes Christmas gifts!!! selling for $25 each or buy more and you get a deal!! For more info call me at  show contact info
 thanks.    "
7,Cat/kitten scratch post!, (Port coquitlam),Mar  1,https://vancouver.craigslist.org/pml/pet/d/port-coquitlam-cat-kitten-scratch-post/6831471241.html,"

QR Code Link to This Post


Scratching post basically brand new still have box! We bought a girly one for my kitten paid 85.00 looking to get 70.00 or OBO reasonable offer please!    "
8,Kitten wanted, (Surrey),Mar  1,https://vancouver.craigslist.org/rds/pet/d/surrey-kitten-wanted/6831451980.html,"

QR Code Link to This Post


Hi we are looking for a male kitten...preferably black or orange :)    "
9,Male Cat, (Surrey),Mar  1,https://vancouver.craigslist.org/rds/pet/d/surrey-male-cat/6826027062.html,"

QR Code Link to This Post


I have a male cay who is about 2 years old now. He is neutered and tattooed. He is not liking living in the city. I even built a cage outside my window for him but that is not enough. He wants to roam. He is a good mouser also. However I would like to find him a home on a farm. So he can come and go but does not have to worry about the traffic in the city. Now I do care about this cat very much and his name is Luna but only because we were told he was a female when we first brought him home. I want him to go to a caring and loving family on a farm. I would like at least $75 for him. I am not in a hurry to get rid of him and will vet his new owners carefully.    "
10,ISO: Maine Coon kittens, (Ladner),Mar  1,https://vancouver.craigslist.org/rds/pet/d/delta-iso-maine-coon-kittens/6831048873.html,"

QR Code Link to This Post


We are looking for a maine-coon kitten!! 

Thanks in advance!

"
11,Smartykat cat tent bed - brand new, (South Surrey),Feb 28,https://vancouver.craigslist.org/rds/pet/d/surrey-smartykat-cat-tent-bed-brand-new/6822386577.html,"

QR Code Link to This Post


Brand new tent bed, perfect for a small cat. Hang it or leave it in his favourite spot. Teal color , fuzzy cushion (the cushion is reversible, same pattern as the tent on the other side) inside the tent. $30    "
12,Yesterday's News Unscented Non-Clumping Cat Litter, (RICHMOND),Feb 27,https://vancouver.craigslist.org/rch/pet/d/richmond-yesterdays-news-unscented-non/6829913663.html,"

QR Code Link to This Post


2  
30 lb. Bags

$20    "
13,Cat foster wanted,N/A,Feb 27,https://vancouver.craigslist.org/pml/pet/d/coquitlam-cat-foster-wanted/6829928461.html,"

QR Code Link to This Post


Here are our two lovely cats, girl Flowie and boy GoGo,  we adopted since they were kittens. Now they are six years old.
Born on the same day from the same mother, they’ve got very different personalities.
 The girl is 30% smaller, but very assertive, quick and clever. The boy is loyal, sometimes rough but scared. He’s Emotional and loves to chew grass to release. 
Flowie sometimes would chew head phone wires. 
They grown up together, sharing the same litter box. Sometimes Flowie will cover the pools for GoGo if he forgot. 
We’re planning to travel a couple of months and would like to find people who enjoy living with them. 
Basically they share one can food a day, and I always keep some dry food in two bowls and one cup of water they can share with.
I’ll pay all the food and littering stuff. 
You can visit them first    "
